Dagtilbud,Instnavn,Adresse,lat,lng,sid,Has Solar Panels
Beder-Malling dagtilbud,Børnehuset Smilehullet,Fuldenvej 140A,56.061329,10.216084,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Eghovedvej,Eghovedvej 1,56.042595,10.197629,,Doesn't have solar
Beder-Malling dagtilbud,Dagplejen i Beder og Malling,Bredgade 5A,56.047741,10.197225,,Doesn't have solar
Christiansbjerg dagtilbud,DII Haven,Bodøvej 96,56.180122,10.180943,,Doesn't have solar
Christiansbjerg dagtilbud,Vuggestuen Lillefod,Katrinebjergvej 140,56.174946,10.182482,,Doesn't have solar
Hasle dagtilbud,Børnehaven Charlottehøj,Bornholmsvej 9,56.176952,10.17576,,Doesn't have solar
Brabrand dagtilbud,Børnehuset Bækken - Væksthuset,Jettesvej 10E,56.156796,10.132624,,Doesn't have solar
Harlev dagtilbud,Dagplejen Harlev,Gammel Stillingvej 424A,56.146523,9.9988079,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Grønnebakken,Præstetoften 1,56.060951,10.219179,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Tværgade,Tværgade 3,56.037792,10.196832,,Doesn't have solar
Hasle dagtilbud,Børnehuset Bakken,Herredsvej 19,56.170921,10.163429,,Doesn't have solar
Brabrand dagtilbud,Børnehuset Engen - Væksthuset,Jettesvej 10B,56.157028,10.132688,,Doesn't have solar
Skødstrup dagtilbud,Dagplejen ved Skødstrup Dagtilbud,Ny Studstrupvej 3E,56.267632,10.31223,,Doesn't have solar
Brabrand dagtilbud,Børnehuset Stranden - Væksthuset,Jettesvej 10C,56.156784,10.132688,,Doesn't have solar
Hasle dagtilbud,Børnehuset Himmelblå,Snogebæksvej 12,56.176407,10.172417,,Doesn't have solar
Christiansbjerg dagtilbud,Børnehuset Malmøgade,Malmøgade 10,56.18021,10.196614,,Doesn't have solar
Christiansbjerg dagtilbud,DII Drivhuset,Bodøvej 96,56.180122,10.180943,,Doesn't have solar
Christiansbjerg dagtilbud,Idrætsbørnehaven Motalagade,Motalagade 6,56.179398,10.196833,,Doesn't have solar
Christiansbjerg dagtilbud,Kløverparken,Rødkløvervej 4,56.172958,10.198707,,Doesn't have solar
Hasle dagtilbud,Børnehuset Fjældevænget,Fjældevænget 52,56.177525,10.165193,,Doesn't have solar
Hasle dagtilbud,Børnehuset Hobbitten,Septembervej 23,56.17659,10.153667,,Doesn't have solar
Hasle dagtilbud,Børnehuset Rydevænget,Rydevænget 51,56.182758,10.167253,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Amaliegården,Byagervej 98,56.055355,10.205009,,Doesn't have solar
Christiansbjerg dagtilbud,Thorshavnsgade,Thorshavnsgade 16,56.176384,10.183835,,Doesn't have solar
Hasle dagtilbud,Idrætsinstitutionen Rend og Hop,Kappelvænget 44,56.179798,10.164463,,Doesn't have solar
Hasle dagtilbud,Solen,Kappelvænget 46,56.179989,10.163819,,Doesn't have solar
Hasle dagtilbud,Vuggestuen Charlottehøj,Paludan-Müllers Vej 185,56.179424,10.174332,,Doesn't have solar
Hasle dagtilbud,Vuggestuen Krible Krable,Kalendervej 5,56.172459,10.164014,,Doesn't have solar
Skjoldhøj dagtilbud,Baobab,Runevej 107,56.174541,10.136877,,Doesn't have solar
Skjoldhøj dagtilbud,Børnehuset Bulderby,Jernaldervej 288,56.17543,10.128685,,Doesn't have solar
Brabrand dagtilbud,Børnehuset Skoven - Væksthuset,Jettesvej 10D,56.156944,10.133482,,Doesn't have solar
Brabrand dagtilbud,Natur og Miljøbørnehuset Viben,Jettesvej 2,56.157799,10.131058,,Doesn't have solar
Skjoldhøj dagtilbud,Børnehuset Jernurten,Jernaldervej 286,56.175045,10.129427,,Doesn't have solar
Tovshøj dagtilbud,Idrætsinstitutionen Ellekær,Jernaldervej 1,56.169891,10.151463,,Doesn't have solar
Tovshøj dagtilbud,Idrætsinstitutionen Myretuen,Ryhavevej 38,56.166046,10.156062,,Doesn't have solar
