Skolenavn,lat,lng,Postdist,sid,Has Solar
Bavnehøj Skole,56.106026,10.096877,Hasselager,0,Doesn't have solar
Beder Skole,56.061577,10.21161,Beder,0,Doesn't have solar
Elev Skole,56.241188,10.199622,Lystrup,0,Doesn't have solar
Ellehøjskolen,56.169418,10.150394,Aarhus V,0,Doesn't have solar
Ellevangskolen,56.203037,10.217692,Risskov,0,Doesn't have solar
Engdalskolen,56.152943,10.109608,Brabrand,0,Doesn't have solar
Hårup Skole,56.288342,10.216692,Hjortshøj,0,Doesn't have solar
Kaløvigskolen,56.260174,10.342974,Skødstrup,0,Doesn't have solar
Langagerskolen,56.118366,10.133548,Viby J,0,Doesn't have solar
Lystrup Skole,56.236736,10.229774,Lystrup,0,Doesn't have solar
Læssøesgades skole,56.146378,10.188354,Aarhus C,0,Doesn't have solar
Møllevangskolen,56.164825,10.184485,Aarhus V,0,Doesn't have solar
Netværksskolen,56.213264,10.171948,Aarhus N,0,Doesn't have solar
Næshøjskolen,56.146523,9.9988079,Harlev J,0,Doesn't have solar
Risskov Skole,56.192966,10.229043,Risskov,0,Doesn't have solar
Samsøgades Skole,56.162449,10.20254,Aarhus C,0,Doesn't have solar
Skovvangskolen,56.175533,10.208733,Aarhus N,0,Doesn't have solar
Stensagerskolen,56.166771,10.137611,Brabrand,0,Doesn't have solar
Strandskolen,56.200199,10.244444,Risskov,0,Doesn't have solar
Sødalskolen,56.150375,10.136786,Brabrand,0,Doesn't have solar
Tranbjergskolen,56.090076,10.14048,Tranbjerg J,0,Doesn't have solar
Virupskolen,56.243191,10.272163,Hjortshøj,0,Doesn't have solar
Vorrevangskolen,56.185951,10.199095,Aarhus N,0,Doesn't have solar
Åby Skole,56.150635,10.164974,Åbyhøj,0,Doesn't have solar
