_id,time,sid,current,currentmax,daily,total
1,2023-07-11T14:50:04,15523,94900,330157,581915,2147477334
2,2024-03-04T07:40:04,16008,0,66331,0,548506132
3,2024-03-04T07:40:04,16009,0,48247,0,361658027
4,2024-03-04T07:40:04,16010,0,174752,0,1433788972
5,2024-03-04T07:40:04,16011,0,100191,0,794836860
6,2024-03-04T07:40:04,16012,0,148169,0,1035294391
7,2024-03-04T07:40:04,22224,0,75732,0,559513579
8,2024-03-04T07:40:04,16013,0,52270,0,349793978
9,2024-03-04T07:40:04,16014,0,100535,0,856582810
10,2024-03-04T07:40:04,16015,0,160922,0,1137417709
11,2024-03-04T07:40:04,16016,0,99725,0,770910306
12,2024-03-04T07:40:04,16017,0,41991,0,299247325
13,2024-03-04T07:40:04,16018,0,67032,0,477892792
14,2024-03-04T07:40:04,16019,0,66557,0,434573972
15,2024-03-04T07:40:04,16020,0,33044,0,221741348
16,2024-03-04T07:40:04,16021,0,81994,0,527407785
17,2024-03-04T07:40:04,16022,0,97305,0,651903677
18,2024-03-04T07:40:04,16023,0,66628,0,499419255
19,2024-03-04T07:40:04,16024,0,32570,0,186054289
20,2024-03-04T07:40:04,16025,0,107218,0,864597835
21,2024-03-04T07:40:04,22229,0,55548,0,408118498
