_id,Periode,Skolekode,Skolenavn,Antal,lat,lng,Adresse,Postnr,Postdist,LINK,Ledernavn,Ledermail,Opdateret
1,202405,751903,Stensagerskolen,272,56.166771,10.137611,Janesvej 2,8220,Brabrand,https://stensagerskolen.aarhus.dk,Susanne Vestergaard Hjermitslev,shv@aarhus.dk,2024-05-07T07:15:00
2,202405,751002,Bakkegårdsskolen,371,56.253349,10.148964,Bjørnshøjvej 1,8380,Trige,https://bakkegaardsskolen.aarhus.dk/,Dick Douglas Glintborg,gdd@aarhus.dk,2024-05-07T07:15:00
3,202405,751003,Ellevangskolen,833,56.203037,10.217692,Jellebakken 17,8240,Risskov,https://ellevangskolen.aarhus.dk/,Michael Kjær,mickja@aarhus.dk,2024-05-07T07:15:00
4,202405,751004,Beder Skole,581,56.061577,10.21161,Skoleparken 6,8330,Beder,https://bederskole.aarhus.dk/,Lars Lykkegaard,laly@aarhus.dk,2024-05-07T07:15:00
5,202405,751006,Elev Skole,215,56.241188,10.199622,Høvej 10,8520,Lystrup,https://elevhaarup.aarhus.dk/,Jens Mathiasen,jenma@aarhus.dk,2024-05-07T07:15:00
6,202405,751007,Elsted Skole,813,56.241524,10.228948,Elsted Skolevej 6,8520,Lystrup,https://elstedskole.aarhus.dk/,Kristian Spang,skrm@aarhus.dk,2024-05-07T07:15:00
7,202405,751008,Engdalskolen,1021,56.152943,10.109608,Hovedgaden 5,8220,Brabrand,https://engdalskolen.aarhus.dk/,Louise Schmidt,lousc@aarhus.dk,2024-05-07T07:15:00
8,202405,751013,Gammelgaardsskolen,1034,56.159332,10.157077,Carit Etlars Vej 31,8230,Åbyhøj,https://gammelgaardsskolen.aarhus.dk/,Susanne Broe Laursen,subrl@aarhus.dk,2024-05-07T07:15:00
9,202405,751014,Sødalskolen,258,56.150375,10.136786,Louisevej 29,8220,Brabrand,https://soedalskolen.aarhus.dk,Irina Frello Hansen,ifh@aarhus.dk,2024-05-07T07:15:00
10,202405,751015,Hasle Skole,714,56.169296,10.16368,Herredsvej 15,8210,Aarhus V,https://hasleskole.aarhus.dk/,Lone Grosen,logro@aarhus.dk,2024-05-07T07:15:00
11,202405,751016,Bavnehøj Skole,668,56.106026,10.096877,Koltvej 17,8361,Hasselager,https://bavnehoejskole.aarhus.dk/,Rasmus Dalager Jørgensen,rdj@aarhus.dk,2024-05-07T07:15:00
12,202405,751017,Holme Skole,511,56.116238,10.178248,Mølleskovvej 11,8270,Højbjerg,https://holmeskole.aarhus.dk,Sonja Pedersen,sonjped@aarhus.dk,2024-05-07T07:15:00
13,202405,751018,Højvangskolen,811,56.129898,10.115003,Klokkeskovvej 1,8260,Viby J,https://hoejvangskolen.aarhus.dk,Ivan Børsting,ivbo@aarhus.dk,2024-05-07T07:15:00
14,202405,751019,Katrinebjergskolen,696,56.173824,10.196321,Katrinebjergvej 60,8200,Aarhus N,https://katrinebjergskolen.aarhus.dk,Christian Hyltoft Hellum,chyhel@aarhus.dk,2024-05-07T07:15:00
15,202405,751020,Kaløvigskolen,34,56.260174,10.342974,Sanatorievej 38,8541,Skødstrup,,Michael Laursen,miclau@aarhus.dk,2024-05-07T07:15:00
16,202405,751021,Kragelundskolen,841,56.11541,10.197737,Aage Jedichs Vej 3,8270,Højbjerg,https://kragelundskolen.aarhus.dk,Vibeke Kjær Agger,vkag@aarhus.dk,2024-05-07T07:15:00
17,202405,751022,Lisbjergskolen,431,56.218662,10.157976,Jørgen Clevins Gade 31,8200,Aarhus N,https://lisbjergskolen.aarhus.dk,Martin Appel Loft,maral@aarhus.dk,2024-05-07T07:15:00
18,202405,751023,Læssøesgades skole,360,56.146378,10.188354,Læssøesgade 24,8000,Aarhus C,https://laessoesgadesskole.aarhus.dk/,Hans Mørk,hansm@aarhus.dk,2024-05-07T07:15:00
19,202405,751024,Malling Skole,625,56.03915,10.198192,Lundshøjgårdsvej 19,8340,Malling,https://mallingskole.aarhus.dk,Gitte Annelise Nielsen,giani@aarhus.dk,2024-05-07T07:15:00
20,202405,751025,Møllevangskolen,462,56.164825,10.184485,Møllevangs Allé 20,8210,Aarhus V,https://moellevangskolen.aarhus.dk,Thomas Christian Trønning,tct@aarhus.dk,2024-05-07T07:15:00
